press,99600.00 ,97600.00 ,94900.00 ,93000.00 ,92500.00 ,92100.00 ,85000.00 ,81100.00 
z,11.67 ,193.09 ,438.01 ,610.37 ,657.00 ,696.20 ,1392.00 ,1793.00 
tk,301.35 ,299.65 ,297.36 ,295.75 ,295.55 ,295.42 ,293.15 ,290.75 
td,298.35,297.47,296.28,295.45,295.15,294.79,288.35,288.85
spd,20.00 ,25.00 ,22.00 ,23.00 ,26.00 ,28.00 ,30.00 ,30.26 
dir,125.00 ,120.00 ,125.00 ,130.00 ,135.00 ,135.00 ,140.00 ,138.70 
u,-16.38 ,-21.65 ,-18.02 ,-17.62 ,-18.38 ,-19.80 ,-19.28 ,-19.97 
v,11.47 ,12.50 ,12.62 ,14.78 ,18.38 ,19.80 ,22.98 ,22.73 
